,gen,max_speed_indi,max_matSelectionProb_indi,max_vision_indi,avg_speed_indi,avg_matSelectionProb_indi,avg_vision_indi,population_indi,max_speed_pred,max_matSelectionProb_pred,max_vision_pred,avg_speed_pred,avg_matSelectionProb_pred,avg_vision_pred,population_pred
0,1,2.1,0.6,20,2.0032258064516135,0.5009274193548386,14.911290322580646,248,2.1,0.5,20,2.0047619047619047,0.49738095238095237,15.404761904761905,84
1,2,2.2,0.63,20,2.01025641025641,0.5017307692307691,13.634615384615385,156,2.2,0.52,20,2.0142857142857147,0.49767857142857136,14.625,56
2,3,2.2,0.6,20,2.0215909090909085,0.5115909090909092,12.897727272727273,88,2.2,0.62,20,2.0267857142857144,0.5046428571428571,15.25,56
3,4,2.2,0.69,20,2.0725000000000002,0.57025,8.875,40,2.2,0.62,20,2.033333333333333,0.5061666666666667,15.316666666666666,60
4,5,2.2,0.69,13,2.052777777777778,0.5591666666666667,5.777777777777778,36,2.2,0.61,20,2.0225,0.5055000000000001,14.075,40
5,6,2.2,0.7,11,2.0729166666666656,0.5443750000000003,5.479166666666667,48,2.1,0.5700000000000001,19,2.015625,0.5006250000000001,12.84375,32
